steamId,Accounting,Action,Adventure,Animation & Modeling,Audio Production,Casual,Design & Illustration,Early Access,Education,Game Development,Indie,Massively Multiplayer,RPG,Racing,Simulation,Software Training,Sports,Strategy,Utilities,Video Production
1000000,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1000030,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
1000080,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1000100,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
1000280,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1000360,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1000410,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000440,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1000470,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1000500,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1000550,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1000640,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1000700,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1000760,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1000770,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
1000790,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
1000800,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0
1000860,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1001040,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
1001070,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1001140,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001220,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
1001240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1001270,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1001430,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1001490,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1001500,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1001590,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1001600,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1001640,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1001800,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1001880,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
1001960,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1001980,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
1002,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1002000,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1002030,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1002100,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1002200,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1002280,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002300,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1002310,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1002410,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1002420,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1002430,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0
1002490,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
1002510,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1002560,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1002830,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
1002960,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
1003020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1003070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1003090,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
1003120,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1003320,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1003360,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1003480,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003490,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003520,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1003590,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1003600,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1003670,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1003730,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
1003750,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1003880,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
1003890,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004040,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1004100,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1004150,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1004240,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
1004270,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
